PrimaryKey,Phase
1000000692018-09-01,3.2
1000001012018-09-01,4.1
16080308105523902016-09-01,3.2
16081508511172662016-09-01,3.2
16081513041892142016-09-01,3.1
16081709161231012016-09-01,3.2
16081712471161842016-09-01,3.2
16082509252268562016-09-01,4.1
1609071345385512016-09-01,3.1
16090814021780972016-09-01,3.1
16091514123243082016-09-01,3.1
16100310170018152016-09-01,3.2
16100313165889972016-09-01,3.2
16100510513021652016-09-01,3.2
16100515373142542016-09-01,4.1
16101914152397652016-09-01,3.1
16110816162981262016-09-01,3.1
1611141556434902016-09-01,5
16111616411999302016-09-01,3.2
16111616433990922016-09-01,3.2
16112311152389002016-09-01,3.2
17080816441181412017-09-01,3.2
17080914104578892017-09-01,3.2
1708101559494342017-09-01,3.2
17081409463175532017-09-01,4.1
17081415013076192017-09-01,3.1
17081715524538602017-09-01,4.1
17082109172042017-09-01,3.2
17082210074895312017-09-01,3.1
17090813301867912017-09-01,3.2
17091114580161472017-09-01,4.1
17110616112979972017-09-01,4.1
17111816320841742017-09-01,3.2
17120113560428622017-09-01,3.2
17120410561463082017-09-01,3.2
17120410561463082017-09-01,4.1
17121912332668922017-09-01,3.1
18010514141989402017-09-01,3.2
18080313544580762018-09-01,3.2
18091112520330472018-09-01,3.2
18091114495445962018-09-01,3.1
18091708593442232018-09-01,3.2
18091807190684402018-09-01,3.2
18091807211781862018-09-01,3.2
18092314034534682018-09-01,4.2
18100407361158432018-09-01,3.1
18100511451925802018-09-01,3.2
18100614204493882018-09-01,4.2
18101711091244872018-09-01,3.1
18111909175538052018-09-01,4.1
1811231303578082018-09-01,3.2
18112809100042272018-09-01,3.2
18112813221936782018-09-01,3.2
20113513040801R1,3.2
20113513050201O2,3.1
20113513050301R2,3.2
20113529010901O2,3.2
20113529010901O3,3.2
20113529070201O3,3.1
20123513040601O1,3.2
20123513040601O2,4.1
20123513110301R2,3.2
20143513201307B1,3.2
20143513201307B2,3.2
20153513201411B1,3.2
20153513201411B2,4.1
20163513201320B1,3.2
20163513201320B2,3.2
20163513201406B1,3.2
20163513201406B2,3.2
20163513201505B2,3.2
20163529201413B1,3.2
20163529201413B2,3.2
20183513201401B3,3.2
NM_LasCrucesTriCounty_2017_SA_413_V12020-09-01,3.2
NM_LasCrucesTriCounty_2017_SA_414_V12020-09-01,3.2
NM_LasCrucesTriCounty_2017_SA_415_V12020-09-01,3.2
NM_LasCrucesTriCounty_2017_SA_418_V12020-09-01,4.1
NM_LasCrucesTriCounty_2017_SA_420_V12020-09-01,4.1
NM_LasCrucesTriCounty_2017_SA_422_V12020-09-01,3.2
NM_LasCrucesTriCounty_2017_SA_424_V12020-09-01,3.2
NML00000_2019_Loam_3462019-09-01,3.2
NML00000_2019_Mal_3962019-09-01,3.2
NML00000_2019_Sandy_4972019-09-01,4.1
NML00000_2019_Sandy_4982019-09-01,4.1
NML00000_2019_Sandy_5022019-09-01,3.1
NML00000_2019_Sandy_5032019-09-01,3.2
NML00000_2019_Sandy_5042019-09-01,3.2
NML00000_2019_Sandy_5052019-09-01,4.1
NML00000_2019_Sandy_5062019-09-01,3.1
NML00000_2019_Sandy_5072019-09-01,3.2
NML00000_2019_Sandy_5082019-09-01,1.2
NML00000_2019_Shallow_5662019-09-01,3.1
NML00000_2020_Bottom_0142019-09-01,3.2
NML00000_2020_Bottom_0152019-09-01,3.2
NML00000_2020_Hills_2182019-09-01,1.2
NML00000_2020_Sandy_5102019-09-01,3.2
NML00000_2020_Sandy_5122019-09-01,4.1
NML00000_2020_Sandy_5132019-09-01,4.1
NML00000_2020_Sandy_5142019-09-01,3.2
NML00000_2020_Sandy_5162019-09-01,3.2
NML00000_2020_Sandy_5172019-09-01,4.1
NML00000_2020_Sandy_5182019-09-01,3.1
NML00000_2020_Sandy_5202019-09-01,3.1
NML00000_OverSamp_Sandy_5412019-09-01,3.2
NML00000_Panel1_MIMB_0032019-09-01,4.2
NML00000_Panel1_MIMB_0052019-09-01,3.2
NML00000_Panel19_MIMB_2762019-09-01,3.2
NML00000_Panel19_MIMB_2852019-09-01,4.2
NML00000_Panel2_MIMB_0272019-09-01,3.2
1000000772018-09-01,3.2
1000000962018-09-01,3.2
16080508464174862016-09-01,4.1
16100415221576082016-09-01,4.1
16101710150739482016-09-01,3.2
16101715173474852016-09-01,3.2
16110311203199692016-09-01,3.2
16112309202346402016-09-01,3.2
16120116430894482016-09-01,3.2
17083111250868632017-09-01,3.1
17101616020163562017-09-01,3.2
17102310271841322017-09-01,3.2
17102310451212652017-09-01,3.2
17102312015948222017-09-01,3.2
18010510564676862017-09-01,3.1
18010510564676862017-09-01,3.2
18010511345121322017-09-01,3.2
18010514592237542017-09-01,3.2
1809061201383122018-09-01,3.1
18091113302082122018-09-01,3.2
18091113302082122018-09-01,4.1
1809191332192062018-09-01,3.1
18092215330068792018-09-01,3.1
1810030747064042018-09-01,3.2
1810030747064042018-09-01,4.1
18101511224069032018-09-01,4.1
18101810201342682018-09-01,3.1
18111908263764742018-09-01,3.1
20113513040801R2,3.2
20113513050201O1,3.1
20113551041101R2,3.1
20143513201407B1,3.2
20163513201317B1,4.1
20163513201317B2,4.1
20183513201418B1,3.2
NM_LasCrucesMimbres2019_MIMB_060_V12020-09-01,1.2
NM_LasCrucesTriCounty_2017_SA_417_V12020-09-01,4.1
NM_LasCrucesTriCounty_2017_SS_451_V12020-09-01,3.1
NML00000_2019_Shallow_5642019-09-01,3.2
NML00000_2019_Shallow_5652019-09-01,3.2
NML00000_2019_Shallow_5672019-09-01,3.1
NML00000_2019_Shallow_5692019-09-01,3.2
NML00000_2020_Loam_3482019-09-01,3.2
NML00000_2020_Shallow_5702019-09-01,3.2
NML00000_2020_Shallow_5712019-09-01,3.1
NML00000_2020_Shallow_5722019-09-01,3.2
NML00000_2020_Shallow_5742019-09-01,3.2
NML00000_2020_Shallow_5752019-09-01,4.1
